Asset Name,File Path,Width,Height
pokeball_trail.png,graphics/battle_transitions/pokeball_trail.png,8,16
rayquaza.png,graphics/battle_transitions/rayquaza.png,128,472
team_magma.png,graphics/battle_transitions/team_magma.png,64,128
frontier_logo.png,graphics/battle_transitions/frontier_logo.png,328,40
vs_frame.png,graphics/battle_transitions/vs_frame.png,24,48
frontier_squares_2.png,graphics/battle_transitions/frontier_squares_2.png,32,32
frontier_squares_blanktiles.png,graphics/battle_transitions/frontier_squares_blanktiles.png,16,8
team_aqua.png,graphics/battle_transitions/team_aqua.png,64,96
frontier_logo_circles.png,graphics/battle_transitions/frontier_logo_circles.png,64,192
shrinking_box.png,graphics/battle_transitions/shrinking_box.png,8,120
frontier_squares_3.png,graphics/battle_transitions/frontier_squares_3.png,32,32
groudon.png,graphics/battle_transitions/groudon.png,64,128
elite_four_bg.png,graphics/battle_transitions/elite_four_bg.png,120,8
unused_lass.png,graphics/battle_transitions/unused_lass.png,64,64
unused_brendan.png,graphics/battle_transitions/unused_brendan.png,64,64
pokeball.png,graphics/battle_transitions/pokeball.png,32,32
vs.png,graphics/battle_transitions/vs.png,64,128
frontier_squares_4.png,graphics/battle_transitions/frontier_squares_4.png,32,32
frontier_logo_center.png,graphics/battle_transitions/frontier_logo_center.png,40,72
regis.png,graphics/battle_transitions/regis.png,128,32
frontier_squares_1.png,graphics/battle_transitions/frontier_squares_1.png,32,32
kyogre.png,graphics/battle_transitions/kyogre.png,64,144
big_pokeball.png,graphics/battle_transitions/big_pokeball.png,32,88
tiles.png,graphics/cave_transition/tiles.png,64,32
stone2_outline.png,graphics/map_popup/stone2_outline.png,80,24
underwater_outline.png,graphics/map_popup/underwater_outline.png,80,24
brick_outline.png,graphics/map_popup/brick_outline.png,80,24
stone_outline.png,graphics/map_popup/stone_outline.png,80,24
marble.png,graphics/map_popup/marble.png,80,24
marble_outline.png,graphics/map_popup/marble_outline.png,80,24
underwater.png,graphics/map_popup/underwater.png,80,24
wood.png,graphics/map_popup/wood.png,80,24
stone2.png,graphics/map_popup/stone2.png,80,24
wood_outline.png,graphics/map_popup/wood_outline.png,80,24
stone.png,graphics/map_popup/stone.png,80,24
brick.png,graphics/map_popup/brick.png,80,24
bw_secondary.png,graphics/map_popup/bw/bw_secondary.png,240,24
bw_primary.png,graphics/map_popup/bw/bw_primary.png,240,24
bird.png,graphics/field_effects/pics/bird.png,32,32
record_mix_lights.png,graphics/field_effects/pics/record_mix_lights.png,96,8
shadow_medium.png,graphics/field_effects/pics/shadow_medium.png,16,8
surf_blob.png,graphics/field_effects/pics/surf_blob.png,96,32
emotion_double_exclamation.png,graphics/field_effects/pics/emotion_double_exclamation.png,16,16
field_move_streaks_indoors.png,graphics/field_effects/pics/field_move_streaks_indoors.png,32,8
sand_disguise_placeholder.png,graphics/field_effects/pics/sand_disguise_placeholder.png,112,32
ash.png,graphics/field_effects/pics/ash.png,80,16
ripple.png,graphics/field_effects/pics/ripple.png,80,16
unused_grass_2.png,graphics/field_effects/pics/unused_grass_2.png,64,16
jump_big_splash.png,graphics/field_effects/pics/jump_big_splash.png,64,16
arrow.png,graphics/field_effects/pics/arrow.png,128,16
hof_monitor_big.png,graphics/field_effects/pics/hof_monitor_big.png,64,16
deoxys_rock_fragment_top_right.png,graphics/field_effects/pics/deoxys_rock_fragment_top_right.png,8,8
spotlight.png,graphics/field_effects/pics/spotlight.png,48,120
emotion_question.png,graphics/field_effects/pics/emotion_question.png,16,16
shadow_extra_large.png,graphics/field_effects/pics/shadow_extra_large.png,64,32
